Video Title,Video ID,User,Comment,Published,SentimentScore,PositiveWords,NegativeWords,AgreeableWords,NeutralRaceWords,WhiteSlurWords,BlackSlurWords,HispanicSlurWords,GeneralSlurs
cosby show - one of the funniest moments,jJPudiBap4U,xxladybug94,Regardless of if he did it or not  this show was funny and taught good morals. I always loved it  and it s stupid that they took this off air and  those other disgusting shows on tv land are still there.   ,2015-02-08,-0.5,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Kavi Senanayake,The car said... what  XD   ,2014-08-19,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Jason Watson,This is funny  Oh my..good old USA.   ,2014-07-15,0.625,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,JonLeibow,Why did they stop showing reruns of this show  I thought one was innocent  until proven guilty.   ,2014-11-21,-0.25,0,1,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,John Lingard,Oh come now   everybody loves Bill Cosby. He s America s Number One Dad    ,2014-11-29,0.5,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Desert Lake Striper, l           my face   ,2014-12-28,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Aaron James,HE breaks the fourth wall a bit. ..    ,2015-04-06,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Neha Peri, ,2015-04-27,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,EpidemicSneakers,Didnt this guy rape a whole bunch of women or something  But idk  what do  you think    ,2014-11-20,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Adon Bavure,Wow Cosby ruined his own legacy. Such a huge icon in black culture ruined  by his own idiotic actions. I mean at the hight of his career he could have  had anyone he wanted. Why in the world did he have to start drugging and  rapping women. Maybe it s true what they say  Rape isn t about sex  it s  about power.   ,2014-11-23,-1.25,1,0,1,1,0,0,0,1
cosby show - one of the funniest moments,jJPudiBap4U,iHatebologna59,Classic soccer mom comedy.  Yuck.    ,2014-11-23,0.75,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,James G, And whatever I m gonna run over there s twelve of them.             This part  had me    ,2014-11-08,0.375,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Michael Landau,zip zop zoopity bop coo coo cachoo   ,2014-12-19,0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,TOP NÃ_rburgring Videos Youtubechannel,it hurts to see that the star of my childhood should be a raper. it  s like  that alf william tanner homo crack pipe porn scandal   ,2014-11-25,-0.75,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,TheYellowMic,Yikes. So I guess the show wasn t funny then.   ,2014-10-27,-0.375,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Tuna,Very Funny    ,2014-12-16,0.5,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,RoastBeefTaco,Rapist   ,2015-02-12,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Ben Dover,I don t get it...   ,2014-11-23,-0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Axan Naxa,Cosby  proof that you don t have to be filthy to be funny.   ,2014-08-27,-0.25,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,WDESJ3,he put his bo bippity in a girls bap  its hard to watch this show now   ,2015-02-20,-0.625,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Tracy Paxton,This cracks me up every time       ,2015-02-19,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,krista reprah,Mr. Cosby is a genius.    ,2014-08-03,0.125,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,TrasherBiner,boy  if this was  the funniest moment  the show must have been pretty  dry...   ,2014-10-06,0.5,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Ember Strike,Someone please ytp this o.o   ,2015-04-25,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MrDReaper666,Not funny at all.   ,2014-12-07,0,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Luke Harding,It s dated comedy it was as funny as fuck in the 80s it s just that he did  the same fucking joke 30 years later recently he s not a poor black man  anymore he s a rich fuck that likes to rape white women when he can get it  on tap.   ,2014-11-25,-1.375,1,0,0,2,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,laila alharbi,nice   ,2015-03-27,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,MOON studios,the car said  what   oh  cosby why     ,2014-08-15,0,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Quasar Maverick,This sounds like a metaphor for his sex life. He must of drugged the car  before he tried to ride it.    ,2014-12-12,0.125,0,0,0,0,0,0,0,1
cosby show - one of the funniest moments,jJPudiBap4U,ali z,Fact  Before 1990  Jello Pudding contained cocaine and cannabis oil. Which  explains why Billy was able to act like a spasmodic squirrel so easily.     ,2014-10-30,-0.125,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Minjeh Lee,why do people think this dude s funny  All he does is make weird noises and  bob his head around obnoxiously   ,2014-11-22,-0.875,1,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,Bala Subramanian, whatever I m gonna run over  I have 12 of em .   ,2014-09-23,-0.25,0,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,SydneyLovePJBJ,I was so young when the Cosby came out a little younger than Rudy but I  loved it as a kid. Then when I became an adult I actually got the jokes but  THEN having my two kids I REALLY get the jokes its hilarious even more so  now. Best thing is no matter the age. race or gender you could relate this  to your family somehow and esp. if you re a parent  its the best. Really  overlooked for the comedy genus it truly was.   ,2014-11-12,0.625,2,0,0,0,0,0,0,0
cosby show - one of the funniest moments,jJPudiBap4U,VIP854,I will never stop laughing at this clip    ,2014-11-22,-0.75,0,0,0,0,0,1,0,0
cosby show - one of the funniest moments,jJPudiBap4U,weavzy,Is the episode where he rapes people     ,2014-12-04,-0.125,0,0,0,0,0,0,0,0
