Video_Title,Video_ID,User_Name,Comment_Content,Published_Date,SentimentScore,PositiveWords,NegativeWords,AgreeableWords,NeutralRaceWords,WhiteSlurWords,BlackSlurWords,HispanicSlurWords,GeneralSlurs
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Willzyx Garrett,As a white guy  I think it would be awesome if black girls talked like this  to white guys.  If you would find any of this stuff offensive  you need to  grow up.   ,2012-01-18,3.75,0,0,0,2,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,The Lazy Broadcast,That nice. Flat. Pancake butt.            ,2012-01-18,3.75,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Leggo My Ego,White guys don t say that crap.  Sincerely  A White Guy   ,2012-01-18,3.5,0,0,0,1,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Sophia Hayes, I like that nice... flat pancake butt you got there.  HAHAHA Quinta you are my spirit animal       ,2012-01-18,3.25,1,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,hhhuuugggzzz,Them sexy skinny ass lips you got                ,2012-01-18,3.25,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Cristina Simmer,I did not enjoy this video For one I m black and so is my mother and she does not act like that  towards whit men.  She is polite and stable and doesn t sound like a white mam for two Ps she has no commitment issues   ,2012-01-18,3.25,0,0,1,2,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Melissa Gordon,Quintaaa    lmao   ,2012-01-18,3.125,1,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Kizzy Walsh,That nice flat pancake butt you got there.   ,2012-01-18,3.125,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Zeta X.,i lost it at  sexy skinny ass lips    ,2012-01-18,3,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Char C,yee bro  power play    ,2012-01-19,3,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,purple princess, That nice flat pancake butt  ya got there                 ,2012-01-19,3,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,black hippie,Cthu this is hilarious   ,2012-01-19,3,1,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,Rose Jackson,THANKYOU   ,2012-01-19,3,0,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,JaneRihannanavy doe,lol I love it     ,2012-01-19,3,2,0,0,0,0,0,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,tony195869,MY COLORED FRAUD GIRLFRIEND CALLS ME FLAT ASS ..  I FOUND OUT WHEN THE WELL  WENT DRY SHE STOP CALLING ...  YOU GUYS ALL CAN LAUGH BUT LITTLE DOES SHE  KNOW SHES ON MY SHIT LIST AND THE LAST THING THIS BITCH WISHES TO HEAR IS  THAT I HAVE 6 MONTHS TO LIVE .... HELLO CNN   ,2012-01-19,3,0,0,0,0,0,1,0,0
If Black Women Said The Stuff White Men Say,rZucsDVmVhE,SuperGeneral64,Prairie fever  xD   ,2012-01-19,2.875,1,0,0,0,0,0,0,0
