Web Search interest: police killings
Worldwide; 2004 - present

Interest over time
Month,police killings
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,8
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,7
2007-06,7
2007-07,7
2007-08,7
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,4
2008-05,4
2008-06,4
2008-07,4
2008-08,4
2008-09,4
2008-10,4
2008-11,3
2008-12,3
2009-01,3
2009-02,5
2009-03,10
2009-04,8
2009-05,5
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,4
2009-11,6
2009-12,7
2010-01,3
2010-02,6
2010-03,5
2010-04,4
2010-05,4
2010-06,4
2010-07,5
2010-08,5
2010-09,3
2010-10,3
2010-11,2
2010-12,4
2011-01,7
2011-02,4
2011-03,3
2011-04,3
2011-05,4
2011-06,4
2011-07,4
2011-08,5
2011-09,3
2011-10,4
2011-11,4
2011-12,4
2012-01,3
2012-02,2
2012-03,4
2012-04,5
2012-05,4
2012-06,2
2012-07,3
2012-08,5
2012-09,6
2012-10,5
2012-11,6
2012-12,6
2013-01,4
2013-02,6
2013-03,3
2013-04,3
2013-05,7
2013-06,3
2013-07,4
2013-08,2
2013-09,2
2013-10,3
2013-11,2
2013-12,2
2014-01,4
2014-02,3
2014-03,4
2014-04,4
2014-05,4
2014-06,7
2014-07,4
2014-08,16
2014-09,7
2014-10,7
2014-11,18
2014-12,51
2015-01,12
2015-02,7
2015-03,11
2015-04,41
2015-05,100


Top regions for police killings
Region,police killings
United States,100
United Kingdom,41


Top cities for police killings
City,police killings
Nairobi (Kenya),100
New York (United States),14
London (United Kingdom),6



Top searches for police killings
killings by police,100
police killings 2014,35
police killings statistics,35
us police killings,30
police officer killings,25
police killings 2013,10



Rising searches for police killings
killings by police,Breakout
police killings 2014,Breakout
police killings statistics,Breakout
police killings uk,Breakout
police officer killings,Breakout
us police killings,Breakout



