Month,Race_Relation_Count
2004-01,0
2004-02,100
2004-03,89
2004-04,89
2004-05,89
2004-06,75
2004-07,75
2004-08,75
2004-09,75
2004-10,75
2004-11,96
2004-12,63
2005-01,55
2005-02,65
2005-03,89
2005-04,72
2005-05,53
2005-06,60
2005-07,67
2005-08,75
2005-09,82
2005-10,53
2005-11,81
2005-12,47
2006-01,81
2006-02,91
2006-03,56
2006-04,70
2006-05,61
2006-06,45
2006-07,37
2006-08,37
2006-09,37
2006-10,49
2006-11,86
2006-12,34
2007-01,49
2007-02,69
2007-03,58
2007-04,45
2007-05,63
2007-06,41
2007-07,23
2007-08,20
2007-09,21
2007-10,57
2007-11,70
2007-12,51
2008-01,42
2008-02,63
2008-03,32
2008-04,47
2008-05,37
2008-06,24
2008-07,23
2008-08,26
2008-09,29
2008-10,41
2008-11,53
2008-12,30
2009-01,33
2009-02,33
2009-03,46
2009-04,26
2009-05,41
2009-06,37
2009-07,19
2009-08,20
2009-09,23
2009-10,36
2009-11,32
2009-12,24
2010-01,35
2010-02,20
2010-03,37
2010-04,26
2010-05,29
2010-06,24
2010-07,16
2010-08,10
2010-09,20
2010-10,26
2010-11,24
2010-12,15
2011-01,27
2011-02,19
2011-03,25
2011-04,22
2011-05,23
2011-06,18
2011-07,12
2011-08,13
2011-09,15
2011-10,22
2011-11,22
2011-12,18
2012-01,21
2012-02,19
2012-03,23
2012-04,18
2012-05,21
2012-06,11
2012-07,10
2012-08,10
2012-09,11
2012-10,22
2012-11,25
2012-12,13
2013-01,13
2013-02,17
2013-03,21
2013-04,22
2013-05,18
2013-06,14
2013-07,11
2013-08,7
2013-09,15
2013-10,20
2013-11,16
2013-12,17
2014-01,17
2014-02,17
2014-03,16
2014-04,19
2014-05,17
2014-06,14
2014-07,10
2014-08,11
2014-09,10
2014-10,18
2014-11,20
2014-12,21
2015-01,18
2015-02,16
2015-03,18
2015-04,17
2015-05,0
